candidate_id,cpcv_splits,eligible_splits,median_test_pf,positive_split_fraction,minimum_split_trades,training_trades,complexity,error
TREND_10_MEDIUM_LONG,28,28,1.2630548818383893,0.75,53,244,2,
TREND_11_ULTRASLOW_LONG,28,28,1.2406531946767323,0.6785714285714286,31,149,2,
TREND_12_STOP_CONTROL,28,28,1.2774596640013034,0.6428571428571429,43,206,2,
TREND_09_SLOW_LONG,28,28,1.1907199460785864,0.6071428571428571,43,206,2,
TREND_02_MOM_SHORT,28,28,0.8429346641018107,0.17857142857142858,597,2564,1,
TREND_01_MOM_LONG,28,28,0.8549901783264416,0.0,635,2830,1,
TREND_03_LONG_P55,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_04_LONG_P65,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_05_LONG_T10,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_06_LONG_T30,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_07_SHORT_P55,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_08_SHORT_P65,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
