candidate_id,cpcv_splits,eligible_splits,median_test_pf,positive_split_fraction,minimum_split_trades,training_trades,complexity,error
TREND_10_MEDIUM_LONG,28,28,1.253026628020531,0.8571428571428571,56,243,2,
TREND_11_ULTRASLOW_LONG,28,28,1.308692558503221,0.8214285714285714,33,150,2,
TREND_12_STOP_CONTROL,28,28,1.2798998453914292,0.75,49,211,2,
TREND_09_SLOW_LONG,28,28,1.2212234154076391,0.7142857142857143,49,211,2,
TREND_02_MOM_SHORT,28,28,0.9193139307946011,0.2857142857142857,595,2571,1,
TREND_01_MOM_LONG,28,28,0.8782693268073672,0.03571428571428571,651,2853,1,
TREND_03_LONG_P55,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_04_LONG_P65,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_05_LONG_T10,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_06_LONG_T30,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_07_SHORT_P55,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_08_SHORT_P65,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
