candidate_id,cpcv_splits,eligible_splits,median_test_pf,positive_split_fraction,minimum_split_trades,training_trades,complexity,error
TREND_12_STOP_CONTROL,28,28,1.3591189377772719,0.7857142857142857,44,201,2,
TREND_11_ULTRASLOW_LONG,28,28,1.4040565673648857,0.7142857142857143,34,148,2,
TREND_09_SLOW_LONG,28,28,1.2809313928487929,0.6785714285714286,44,201,2,
TREND_10_MEDIUM_LONG,28,28,1.1517775337190974,0.6785714285714286,56,249,2,
TREND_02_MOM_SHORT,28,28,0.849937347014772,0.21428571428571427,594,2570,1,
TREND_01_MOM_LONG,28,28,0.8625919438207414,0.03571428571428571,645,2800,1,
TREND_03_LONG_P55,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_04_LONG_P65,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_05_LONG_T10,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_06_LONG_T30,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_07_SHORT_P55,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_08_SHORT_P65,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
