candidate_id,cpcv_splits,eligible_splits,median_test_pf,positive_split_fraction,minimum_split_trades,training_trades,complexity,error
TREND_10_MEDIUM_LONG,28,28,1.3507364759920837,0.8928571428571429,55,246,2,
TREND_11_ULTRASLOW_LONG,28,28,1.3471098174644558,0.7857142857142857,31,152,2,
TREND_12_STOP_CONTROL,28,28,1.2762031828038123,0.75,42,213,2,
TREND_09_SLOW_LONG,28,28,1.2334510275802564,0.7142857142857143,42,213,2,
TREND_01_MOM_LONG,28,28,0.8736993429270221,0.17857142857142858,634,2868,1,
TREND_02_MOM_SHORT,28,28,0.8493617616112414,0.03571428571428571,608,2599,1,
TREND_03_LONG_P55,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_04_LONG_P65,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_05_LONG_T10,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_06_LONG_T30,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_07_SHORT_P55,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_08_SHORT_P65,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
