candidate_id,cpcv_splits,eligible_splits,median_test_pf,positive_split_fraction,minimum_split_trades,training_trades,complexity,error
TREND_11_ULTRASLOW_LONG,28,28,1.5447883371264777,0.9642857142857143,34,151,2,
TREND_10_MEDIUM_LONG,28,28,1.3896970715089139,0.8928571428571429,55,251,2,
TREND_12_STOP_CONTROL,28,28,1.2300530067610693,0.8928571428571429,45,215,2,
TREND_09_SLOW_LONG,28,28,1.2032331716075175,0.8214285714285714,45,215,2,
TREND_02_MOM_SHORT,28,28,0.8479802202998066,0.17857142857142858,576,2503,1,
TREND_01_MOM_LONG,28,28,0.8801669966097478,0.10714285714285714,669,2902,1,
TREND_03_LONG_P55,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_04_LONG_P65,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_05_LONG_T10,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_06_LONG_T30,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_07_SHORT_P55,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_08_SHORT_P65,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
