candidate_id,cpcv_splits,eligible_splits,median_test_pf,positive_split_fraction,minimum_split_trades,training_trades,complexity,error
TREND_11_ULTRASLOW_LONG,28,28,1.2824486285437544,0.75,31,149,2,
TREND_12_STOP_CONTROL,28,28,1.1934753451773852,0.7142857142857143,44,205,2,
TREND_09_SLOW_LONG,28,28,1.105041672640897,0.7142857142857143,44,205,2,
TREND_10_MEDIUM_LONG,28,28,1.0522650192408547,0.5,59,258,2,
TREND_02_MOM_SHORT,28,28,0.7767039535346165,0.10714285714285714,587,2573,1,
TREND_01_MOM_LONG,28,28,0.8756619313901639,0.07142857142857142,657,2848,1,
TREND_03_LONG_P55,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_04_LONG_P65,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_05_LONG_T10,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_06_LONG_T30,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_07_SHORT_P55,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
TREND_08_SHORT_P65,28,0,0.0,0.0,0,0,5,RuntimeError: REGIME_IDENTIFICATION_FAILED
