timestamp_utc,date,ticker,side,target_weight,current_weight,delta_weight,portfolio_value,trade_value,estimated_commission,estimated_slippage,estimated_spread_cost,estimated_total_cost,order_status
2026-06-23T17:33:54.080647+00:00,2026-06-22,AGG,BUY,0.016427532165531177,0.0,0.016427532165531177,1000000.0,16427.532165531178,0.0,8.21376608276559,8.21376608276559,16.42753216553118,BLOCKED_NO_TRADE
2026-06-23T17:33:54.082151+00:00,2026-06-22,BIL,BUY,0.35292962640108677,0.0,0.35292962640108677,1000000.0,352929.62640108675,0.0,176.46481320054338,176.46481320054338,352.92962640108675,BLOCKED_NO_TRADE
2026-06-23T17:33:54.083157+00:00,2026-06-22,BND,BUY,0.024783366867346328,0.0,0.024783366867346328,1000000.0,24783.36686734633,0.0,12.391683433673165,12.391683433673165,24.78336686734633,BLOCKED_NO_TRADE
2026-06-23T17:33:54.084158+00:00,2026-06-22,BNDX,BUY,0.07621867533177362,0.0,0.07621867533177362,1000000.0,76218.67533177363,0.0,38.10933766588681,38.10933766588681,76.21867533177362,BLOCKED_NO_TRADE
2026-06-23T17:33:54.084158+00:00,2026-06-22,DBC,BUY,0.0054920543745197135,0.0,0.0054920543745197135,1000000.0,5492.054374519714,0.0,2.7460271872598567,2.7460271872598567,5.4920543745197135,BLOCKED_NO_TRADE
2026-06-23T17:33:54.084158+00:00,2026-06-22,EEM,BUY,0.00134508052832857,0.0,0.00134508052832857,1000000.0,1345.08052832857,0.0,0.672540264164285,0.672540264164285,1.34508052832857,BLOCKED_NO_TRADE
2026-06-23T17:33:54.085157+00:00,2026-06-22,EFA,BUY,0.0014187072427404696,0.0,0.0014187072427404696,1000000.0,1418.7072427404696,0.0,0.7093536213702348,0.7093536213702348,1.4187072427404697,BLOCKED_NO_TRADE
2026-06-23T17:33:54.085157+00:00,2026-06-22,EMB,BUY,0.01526149439139359,0.0,0.01526149439139359,1000000.0,15261.49439139359,0.0,7.630747195696795,7.630747195696795,15.26149439139359,BLOCKED_NO_TRADE
2026-06-23T17:33:54.086157+00:00,2026-06-22,EWJ,BUY,0.0011548056303715161,0.0,0.0011548056303715161,1000000.0,1154.8056303715161,0.0,0.5774028151857581,0.5774028151857581,1.1548056303715162,BLOCKED_NO_TRADE
2026-06-23T17:33:54.086157+00:00,2026-06-22,FXI,BUY,0.0013911625898621318,0.0,0.0013911625898621318,1000000.0,1391.1625898621319,0.0,0.6955812949310659,0.6955812949310659,1.3911625898621318,BLOCKED_NO_TRADE
2026-06-23T17:33:54.087157+00:00,2026-06-22,GLD,BUY,0.002758642565325601,0.0,0.002758642565325601,1000000.0,2758.642565325601,0.0,1.3793212826628005,1.3793212826628005,2.758642565325601,BLOCKED_NO_TRADE
